1,Dreamy Delicacies ,"1/7, Vikas Nagar, Kursi Road, Aliganj, Lucknow",26.907499,80.956718
2,Kitchen 11 ,"Engineering College Chauraha, Sector A, Aliganj, Lucknow",26.911406,80.944659
3,Domino's Pizza ," Naraina Plaza, Upper Ground Floor, CP 65, Sector E, Sitapur Road, Aliganj, Lucknow",26.910874,80.946929
4,Mughlai Huttz ," Plot 16, Tehri Pulia, Kursi Road, Behind Bank Of Baroda, Aliganj, Lucknow Mughlai Huttz address, Mughlai Huttz location",26.909596,80.958209
5,Fusion Flavour,"Plot 10, Sector 9, Vikas Nagar, Aliganj, Lucknow",26.890436,80.962161
6,Shri Surendra Bhojnalay ,"Tarhi Khana, Sitapur Road, Near Vidanchal Mandir, Aliganj, Lucknow",26.901862,80.939656
7,Mahalaxmi Sweets,"Sector H, Near Sector A, Aliganj, Lucknow",26.89463,80.943115
8,Mahesh's Mansarovar ,"8 Commercial, Near Bank Of India, Nirala Nagar, Lucknow",26.876906,80.937565
9,Mughlai Huttz ,"Plot 16, Tehri Pulia, Kursi Road, Behind Bank Of Baroda, Aliganj, Lucknow",26.909434,80.958027
10,Dosa Planet,"Msg-19, Kapoorthala, Near Radhe Lal Sweets, Aliganj, Lucknow",26.886028,80.941638
11,Lucknow Kitchen ,"B2/132, Sector F, Sahara States Road, Jankipuram, Near Engineering College Chauraha, Lucknow",26.912098,80.950181
12,Wood Smoked-Woodfired Pizza ,"MM 51/84, SBI Colony, Sector A, Aliganj, Lucknow",26.906916,80.944509
13,Mughlai The Taste,"Shop B-24, 25, 26, 27, Dilkash Plaza, Puraniya Tiraha, Sitapur Road Aliganj, Lucknow",27.21927,80.849446
14,Al - Baike ,"A-1/15, Sector H, Aliganj, Lucknow",26.894325,80.94266
15,Mr. Brown ,"B 35, Sector P, Aliganj, Lucknow",26.901026,80.94595
16,KGN Restaurant,"Awadh Bajar, Near Jama Masjid, Tedhi Pulia, Aliganj, Lucknow",26.908897,80.956259
17,Tunday Kababi ,"Vivek Complex, Kapoorthala, Aliganj, Lucknow",26.881859,80.946795
18,Panditji Ke Dehati Rasgulle ,"HIG-4, SECTOR-A, SITAPUR ROAD YOJNA, ALIGANJ, LUCKNOW",26.904026,80.944197
19,Sign In Cafe,"B-35, Sector-H, Beli Garad Chauraha Main Road, Aliganj, Lucknow",26.897148,80.94367
20,Chahat Biryani,"Purniya Chouraha, Sector H, Aliganj, Lucknow",26.902289,80.940548
21,Fusion Flavour ,"Plot 10, Sector 9, Vikas Nagar, Aliganj, Lucknow",26.890331,80.961549
22,Shaukeens The Bistro ,"Near Puraniya Fly Over, Sitapur Road, Aliganj, Lucknow",26.89957,80.938529
23,Baati Chokha ,"Near Jai Coching Center, Sector J, Aliganj, Lucknow",26.899168,80.945053
24,Burger Beans ,"B-52, Sector H, Nagar Nigam Food Safety, Zone 12, Aliganj, Lucknow",26.895867,80.942642
25,Cafe 26,"Purania Chauraha, Aliganj, Lucknow",26.894381,80.942763
26,Shere E Punjab ,"Vivek Complex, Behind Novelty, Aliganj, Lucknow",26.88204,80.94661
27,Aryan Family's Delight,"C 4, Sector F, Opposite Sahara Tower, Kapoorthala, Aliganj, Lucknow",26.883567,80.945798
28,The Pizza Dine,"C 14, Sector F, Aliganj, Lucknow",26.883296,80.946766
29,Rattilals,"Shop.13, Kailash Plaza, Behind Puraniya, Aliganj, Lucknow",26.893835,80.944551
30,Kitchen King,"Sector Q Chauraha, B-1/47, Aliganj, Lucknow, Uttar Pradesh 226024",26.902829,80.943856
31,Social Adda ,"B-1/12, Sector C, Aliganj, Lucknow",26.885729,80.938057
32,Shyam Swaad,"B 40, Sector P, Aliganj, Lucknow",26.901668,80.94638
33,The Chocolate Room,"Pragati Bazaar, Kapoorthala, Near Universal Book Store, Aliganj",26.882445,80.947124
34,Kolkata Dining,"C-76, Sector N, Near Gulachin Mandir, Aliganj, Lucknow",26.901195,80.955102
35,Indian Oil Petrol Pump,"Sector B, Aliganj, Lucknow, Uttar Pradesh 226021",26.911123,80.945695
